subject,predicate,object
Виноградная_зараза_Vine_Blight,hasWis,10
Спектр_Specter,type,Enemy
Нотик_Nothic,hasInt,13
hasDex,type,FunctionalProperty
Магмин_Magmin,hasResistanceToDamage,Колющий
Дуегар_Duergar,hasSize,Средний
Невидимый_сталкер_Invisible_Stalker,hasLanguage,Общий
Культист_Cultist,hasType,Гуманоид
Коатль_Couatl,type,Enemy
Дэв_Deva,hasHp,136
Гигантская_оса_Giant_Wasp,type,NamedIndividual
Циклоп_Cyclops,type,NamedIndividual
Вампир_воин_Vampire_Warrior,hasResistanceToDamage,Дробящий
Демилич_Demilich,hasImmunityToState,Парализованный
Дуегар_Duergar,hasRank,1
Разведчик_Scout,hasType,Гуманоид
Эриний_Erinyes,hasRank,12
Гигантский_паук-волк_Giant_Wolf_Spider,hasStr,12
Три-крин_Thri-kreen,hasRank,1
Берсерк_Berserker,type,NamedIndividual
Рыцарь_смерти_Death_Knight,hasWorldview,Хаотичный_злой
Гигантский_орел_Giant_Eagle,hasCon,13
Марид_Marid,type,Enemy
Друид_Druid,type,NamedIndividual
Ифрит_Efreeti,hasRank,11
Ржавый_монстр_Rust_Monster,hasType,Монстр
Куаггот_Quaggoth,hasHp,45
Бабуин_Baboon,type,Enemy
Разбуженный_Куст_Awakened_Shrub,hasArmor,9
Пожиратель_разума_Intellect_Devourer,hasResistanceToDamage,Дробящий
Вампир_Vampire,hasResistanceToDamage,Рубящий
Перитон_Peryton,hasRank,2
Демилич_Demilich,hasResistanceToDamage,Рубящий
Грик_Grick,hasRank,2
Ледяной_Дьявол_Ice_Devil,hasSize,Большой
Взрослый_Миконид_Myconid_Adult,type,Enemy
Ревенант_Revenant,hasImmunityToState,Парализованный
Ледяной_Дьявол-Копейщик_Ice_Devil_Spear,hasInt,18
Огненный_Элементаль_Fire_Elemental,hasImmunityToDamage,Огненный
Юан-ти_Форма_проклятия_1_Yuan-ti_Malison_Type_1,hasSize,Средний
Гигантский_крокодил_Giant_Crocodile,hasCon,17
Вампир_заклинатель_Vampire_Spellcaster,hasArmor,16
Грелл_Grell,hasCha,9
Наблюдатель_Spectator,hasWis,14
Дроу_Маг_Drow_Mage,hasHp,45
Ворг_Worg,hasLanguage,Гоблинский
Медуза_Горгона_Gorgon,type,NamedIndividual
Гомункул_Homunculus,hasImmunityToState,Отравленный
Воздушный_Элементаль_Air_Elemental,hasImmunityToDamage,Ядовитый
Гигантская_коза_Giant_Goat,hasRank,1/2
Зеленый_Дракон_Вирм_Green_Dragon_Wyrmling,hasCon,13
Балор_Balor,hasType,Исчадие
Взрослый_Синий_Драколич_Adult_Blue_Dracolich,hasInt,16
Эриний_Erinyes,hasCha,18
Гриф_Vulture,hasLocation,Лес
Дымный_мефит_Smoke_Mephit,hasWorldview,Нейтральный_злой
Парализованный,comment,"Парализованное существо недееспособно и не способно перемещаться и говорить.
Существо автоматически проваливает спасброски Силы и Ловкости.
Броски атаки по парализованному существу совершаются с преимуществом.
Любая атака, попавшая по такому существу, считается критическим попаданием, если нападающий находится в пределах 5 футов от существа."
Взрослый_Медный_Дракон_Adult_Copper_Dragon,hasWorldview,Хаотичный_добрый
Магмин_Magmin,hasStr,7
Белый_Дракон_Вирм_White_Dragon_Wyrmling,hasStr,14
Куо-тоа_Кнут_куо-тоа_Whip,hasLocation,Под_водой
Красный_Слаад_Red_Slaad,hasLocation,Горы
Разбуженное_Дерево_Awakened_Tree,hasStr,19
Холмовой_великан_Hill_Giant,type,Enemy
Отидж_Otyugh,hasInt,6
Гитзераи_Зерт_Githzerai_Zerth,hasInt,16
Болтающие_рты_Gibbering_Mouther,hasWis,10
Шипастый_Дьявол_Barbed_Devil,hasStr,16
Невидимый_сталкер_Invisible_Stalker,hasImmunityToState,Схваченный
Призрак_Ghost,hasWorldview,Истинно_нейтральный
Единорог_Unicorn,hasCha,16
Троглодит_Troglodyte,hasHp,13
Полуогр_Огриллон_Half-Ogre_Ogrillon,hasLanguage,Великаний
Крылатый_кобольд_Winged_Kobold,hasWis,7
Акула_охотник_Hunter_Shark,hasArmor,12
Гитзераи_монах_Githzerai_Monk,hasHp,38
Damage,type,Class
Скорпион_Scorpion,hasSize,Крошечный
Галеб_Дур_Galeb_Duhr,hasWorldview,Истинно_нейтральный
Сахуагин_Sahuagin,hasCon,12
Куо-тоа_куо-тоа,type,Enemy
Фея,comment,"Феи — магические существа, тесно связанные с силами природы. Они живут в сумрачных рощах и туманных лесах. В некоторых мирах они тесно связаны со Страной Фей, которую также называют Планом Фей. Некоторые из них встречаются во Внешних Планах, в частности, на Арборее или в Звериных Землях. К феям относятся дриады, пикси и сатиры."
Лев_Lion,hasType,Зверь
Аватар_Смерти_Avatar_of_Death,hasImmunityToState,Испуганный
Серая_слизь_Gray_Ooze,hasCha,2
Законопослушный_злой,type,Worldview
Дретч_Dretch,hasImmunityToDamage,Ядовитый
Гигантский_горностай_Giant_Weasel,type,Enemy
Наблюдатель_Spectator,hasType,Абберация
Молодой_Синий_Дракон_Young_Blue_Dragon,hasType,Дракон
Зеленый_Дракон_Вирм_Green_Dragon_Wyrmling,hasLanguage,Драконий
Костяной_Нага_Страж_Bone_Naga_Guardian,type,NamedIndividual
Огненный_Элементаль_Fire_Elemental,hasHp,102
Ворг_Worg,hasRank,1/2
Виверна_Wyvern,hasArmor,13
Ящерочеловек-шаман_Lizardfolk_Shaman,hasArmor,13
Фейский_ДраконЖелтый_Faerie_Dragon_Yellow,hasLocation,Побережье
Молодой_Синий_Дракон_Young_Blue_Dragon,hasWorldview,Законопослушный_злой
Энт_Treant,hasWorldview,Хаотичный_добрый
Гуль_Ghoul,hasRank,1
Мертвый_Слаад_Death_Slaad,hasType,Абберация
Оживший_Доспех_Animated_Armor,hasHp,33
Рой_жуков_Swarm_of_Beetles,hasImmunityToState,Испуганный
Ледяной_мефит_Ice_Mephit,hasStr,7
Ламия_Lamia,hasCha,16
Эттин_Ettin,hasWis,10
Пикси_Pixie,hasArmor,15
Ассассин_Assassin,hasType,Гуманоид
Шакал-оборотень_Jackalwere,hasImmunityToDamage,Дробящий
Паук_Spider,hasCha,2
Рыцарь_Knight,type,NamedIndividual
Призрачный_паук_Phase_Spider,hasCon,12
Акула_охотник_Hunter_Shark,hasWorldview,Истинно_нейтральный
Куо-тоа_Кнут_куо-тоа_Whip,hasHp,65
Крыса_Rat,type,Enemy
Зорн_Xorn,hasInt,11
Рой_воронов_Swarm_of_Ravens,hasResistanceToDamage,Рубящий
Костяной_Нага_Страж_Bone_Naga_Guardian,hasHp,58
Летучая_мышь_Bat,hasArmor,12
Волк_Wolf,hasHp,11
Адская_гончая_Hell_Hound,type,NamedIndividual
Орог_Orog,type,NamedIndividual
Ветеран_Veteran,hasInt,10
Молодой_Серебряный_Дракон_Young_Silver_Dragon,hasCha,19
Единорог_Unicorn,hasRank,5
Обыватель_Commoner,hasWis,10
Пугало_Scarecrow,hasCha,13
Древний_Бронзовый_Дракон_Ancient_Bronze_Dragon,hasCha,21
Лев_Lion,hasCha,8
Медведь-оборотень_Werebear,type,Enemy
Гиена_Hyena,hasType,Зверь
Серебряный_Дракон_Вирм,hasCha,15
Дуегар_Duergar,type,Enemy
Ястреб_Hawk,hasHp,1
Крылатый_кобольд_Winged_Kobold,hasWorldview,Законопослушный_злой
Хаотичный_добрый,comment,"Они действуют так, как подсказывает им чутье. Такие персонажи все еще остаются доброжелательными, и чаще всего сражаются за тех, чья победа практически невозможна."
Куаггот_служитель_спор_Quaggoth_Spore_Servant,type,NamedIndividual
Три-крин_Thri-kreen,type,Enemy
Воздушный_Элементаль_Air_Elemental,type,Enemy
Демон-боец_Pit_Fiend,hasImmunityToDamage,Ядовитый
Летучая_мышь_Bat,hasCon,8
Крокодил_Crocodile,type,Enemy
Скелет-минотавр_Minotaur_Skeleton,hasCon,15
Разбуженный_Куст_Awakened_Shrub,hasInt,10
Гигантский_краб_Giant_Crab,hasLocation,Руины
Мерроу_Merrow,hasStr,18
Анкилозавр_Ankylosaurus,hasLocation,Лес
Стражник_Guard,hasStr,13
Древний_Медный_Дракон_Ancient_Copper_Dragon,hasType,Дракон
Древний_Красный_Дракон_Ancient_Red_Dragon,hasCha,23
Гиганский_Барсук_Giant_Badger,hasWis,12
Морозный_великан_Frost_Giant,hasImmunityToDamage,Холодный
Булетт_Bulette,hasArmor,17
Банши_Banshee,hasImmunityToState,Очарованный
Скелет-минотавр_Minotaur_Skeleton,hasImmunityToDamage,Ядовитый
Летучая_мышь_Bat,hasWorldview,Истинно_нейтральный
hasImmunityToDamage,range,Damage
Воздушный_Элементаль_Air_Elemental,hasImmunityToState,Бессознательный
Маг_Mage,hasCon,11
Газовая_спора_Gas_Spore,hasType,Растение
Ледяной_Дьявол-Копейщик_Ice_Devil_Spear,type,Enemy
Эттин_Ettin,hasCha,8
Марид_Marid,hasLocation,Горы
Тень_Shadow,hasRank,1/2
Дух_Wraith,hasSize,Средний
Полуогр_Огриллон_Half-Ogre_Ogrillon,hasCon,14
Гигантская_летучая_мышь_Giant_Bat,hasArmor,13
Серая_слизь_Gray_Ooze,hasHp,22
Рой_многоножек_Swarm_of_Centipedes,hasImmunityToState,Очарованный
Рой_Квипперов_Swarm_of_Quippers,type,Enemy
Визгун_Shrieker,hasSize,Средний
Драйдер_Заклинатель_Drider_Spellcaster,hasWorldview,Хаотичный_злой
Магмовый_мефит_Magma_Mephit,hasRank,1/2
Крыса-оборотень_Wererat,hasHp,33
Куо-тоа_староста_куо-тоа_Monitor,hasWis,14
Волк-оборотень_Werewolf,hasStr,15
Рой_Квипперов_Swarm_of_Quippers,hasImmunityToState,Окаменевший
Друид_Druid,hasInt,12
Монстр,type,NamedIndividual
Ропер_Roper,hasInt,7
Взрослый_Белый_Дракон_Adult_White_Dragon,hasRank,13
Гигантская_акула_Giant_Shark,hasArmor,13
Йети_Yeti,hasArmor,12
Гиносфинкс_Gynosphinx,type,NamedIndividual
Фейский_ДраконЖелтый_Faerie_Dragon_Yellow,hasHp,14
Гигантская_обезьяна_Giant_Ape,hasCha,7
Огонек_Will-o'-Wisp,hasLocation,Подземье
Камбион_Cambion,hasCon,16
Оживший_Доспех_Animated_Armor,hasCha,1
Гигантский_лось_Giant_Elk,type,NamedIndividual
Хобгоблин_военачальник_Hobgoblin_Warlord,hasWorldview,Законопослушный_злой
Плесиозавр_Plesiosaurus,type,NamedIndividual
Слаад_головастик_Slaad_Tadpole,hasWis,5
Банши_Banshee,hasImmunityToState,Схваченный
Сахуагин_Sahuagin,hasArmor,12
Фиолетовая_плесень_Violet_Fungus,hasStr,3
Лич_Lich,hasImmunityToState,Истощенный
Сатир_Satyr,hasCha,14
Тридрон_Tridrone,hasInt,9
Рой_насекомых_Swarm_of_Insects,type,NamedIndividual
Глубинный_гном_Свирфнеблин_Deep_Gnome_Svirfneblin,hasStr,15
Капитан_Бандитов_Bandit_Captain,type,NamedIndividual
Кобольд_Kobold,hasHp,5
Игловая_Зараза_Needle_Blight,hasSize,Средний
Пантера_Panther,hasInt,3
Рой_жуков_Swarm_of_Beetles,hasImmunityToState,Ошеломлённый
Йети_Yeti,hasType,Монстр
Наблюдатель_Spectator,hasCha,11
Рой_многоножек_Swarm_of_Centipedes,hasImmunityToState,Схваченный
Ламия_Lamia,hasRank,4
Отвратительный_Йети_Abominable_Yeti,type,NamedIndividual
Подземелья,type,Location
Огр_Ogre,hasLanguage,Общий
Древний_Синий_Дракон_Ancient_Blue_Dragon,hasSize,Громадный
Молодой_Черный_Дракон_Young_Black_Dragon,hasRank,7
Мясной_голем_Flesh_Golem,hasImmunityToDamage,Колющий
Миконид_Монарх_Myconid_Sovereign,hasInt,13
Ворг_Worg,hasCha,8
Перитон_Peryton,hasType,Монстр
Лось_Elk,hasType,Зверь
Аллозавр_Allosaurus,type,NamedIndividual
Взрослый_Медный_Дракон_Adult_Copper_Dragon,hasWis,15
Гуль_Ghoul,type,Enemy
Рыцарь_смерти_Death_Knight,hasRank,17
Солар_Solar,hasResistanceToDamage,Излучение
Шипастый_Дьявол_Barbed_Devil,hasLocation,Город
Тигр_Tiger,hasWorldview,Истинно_нейтральный
Магмовый_мефит_Magma_Mephit,hasType,Элементаль
Вампир_заклинатель_Vampire_Spellcaster,hasSize,Средний
Фейский_ДраконКрасный_Faerie_Dragon_Red,hasWorldview,Хаотичный_добрый
Слаад_головастик_Slaad_Tadpole,type,NamedIndividual
Пегас_Pegasus,hasLanguage,Эльфийский
Взрослый_Миконид_Myconid_Adult,hasCha,7
Упырь_Wight,hasRank,3
Грик_Grick,hasWorldview,Истинно_нейтральный
Чёрный_медведь_Black_Bear,type,Enemy
Юан-ти_Форма_проклятия_3_Yuan-ti_Malison_Type_3,hasWis,12
Летающий_меч_Flying_Sword,hasStr,12
Юан-ти_Форма_проклятия_3_Yuan-ti_Malison_Type_3,type,NamedIndividual
Демилич_Demilich,hasImmunityToState,Сбитый_с_ног
Ропер_Roper,hasRank,5
Эриний_Erinyes,hasCon,18
Гигантская_лягушка_Giant_Frog,type,Enemy
Фейский_ДраконСиний_Faerie_Dragon_Indigo,hasCha,16
Молодой_Белый_Дракон_Young_White_Dragon,type,NamedIndividual
Фламп_Flumph,type,NamedIndividual
Акула_охотник_Hunter_Shark,hasType,Зверь
Багбир_Bugbear,hasType,Гуманоид
Желатиновый_куб_Gelatinous_Cube,hasImmunityToState,Истощенный
Взрослый_Синий_Дракон_Adult_Blue_Dragon,hasCha,19
Гигантская_акула_Giant_Shark,hasWis,10
Полуогр_Огриллон_Half-Ogre_Ogrillon,hasStr,17
Крошечный,hasSizeCell,0.25
Кровавый_Ястреб_Blood_Hawk,hasWorldview,Истинно_нейтральный
Ультролот_Ultroloth,hasArmor,19
Мумия_Mummy,type,NamedIndividual
Небожитель,comment,"Небожители — это существа из Верхних Планов.

Многие из них являются слугами божеств, и выполняют роль посланников и агентов в мире смертных и других планах. Небожители добры от природы, поэтому небожитель, сбившийся с пути добра, это ужасная редкость. К небожителям относятся ангелы, коатли и пегасы."
Синий_Слаад_Blue_Slaad,hasWis,7
Скелет-минотавр_Minotaur_Skeleton,type,Enemy
Глубинный_гном_Свирфнеблин_Deep_Gnome_Svirfneblin,hasLanguage,Гномий
Мул_Mule,hasWorldview,Истинно_нейтральный
Никалот_Nycaloth,hasImmunityToState,Отравленный
Эриний_Erinyes,hasImmunityToState,Отравленный
Орел_Eagle,hasRank,0
Пещерный_Медведь_Cave_Bear,hasSize,Большой
Дуодрон_Duodrone,type,NamedIndividual
Тигр_Tiger,hasSize,Большой
Каменный_голем_Stone_Golem,hasImmunityToDamage,Ядовитый
Облачный_Гигант_Cloud_Giant,hasArmor,14
Птеранодон_Pteranodon,hasCha,5
Глабрезу_Glabrezu,hasArmor,17
Анкилозавр_Ankylosaurus,hasType,Зверь
Орк_Глаз_Груумша_Orc_Eye_of_Gruumsh,hasCon,17
20,type,NamedIndividual
Куаггот_Quaggoth,hasLanguage,Подземный
Взрослый_Серебряный_Дракон_Adult_Silver_Dragon,hasType,Дракон
Кентавр_Centaur,type,NamedIndividual
Скелет_Skeleton,hasArmor,13
Огненный_великан_Fire_Giant,hasArmor,18
Бездны,type,NamedIndividual
Мумия_Mummy,hasHp,58
Рой_крыс_Swarm_of_Rats,hasResistanceToDamage,Колющий
Наблюдатель_Spectator,hasLocation,Побережье
Призрак_Ghost,hasCon,10
Грик_Grick,hasWis,14
Тиранозавр_Tyrannosaurus_Rex,type,NamedIndividual
Рыцарь_смерти_Death_Knight,hasCha,18
Мерцающий_Пес_Blink_Dog,hasStr,12
Булетт_Bulette,type,Enemy
Костяной_Дьявол_Копьеносец_Bone_Devil_Polearm,hasLanguage,Инфернальный
Железный_голем_Iron_Golem,hasImmunityToState,Окаменевший
Ворг_Worg,hasArmor,13
Тигр_Tiger,hasInt,3
Мантия_Cloaker,type,NamedIndividual
hasInt,range,decimal
Кобольд_Kobold,type,NamedIndividual
Рой_летучих_мышей_Swarm_of_Bats,hasImmunityToState,Ошеломлённый
Глинянный_Голем_Clay_Golem,hasImmunityToState,Истощенный
Ястреб_Hawk,hasCha,6
Гигантская_гиена_Giant_Hyena,hasWis,12
Бородатый_Дьявол_Bearded_Devil,hasResistanceToDamage,Рубящий
Призрачный_паук_Phase_Spider,hasSize,Большой
Багбир_Шеф_Bugbear_Chief,hasType,Гуманоид
Служитель_Acolyte,hasHp,9
Ворг_Worg,hasLanguage,Воровской_жаргон
Зеленый_Дракон_Вирм_Green_Dragon_Wyrmling,hasStr,15
Кошмар_в_шлеме_Helmed_Horror,hasWis,10
Охряное_желе,hasRank,2
Серебряный_Дракон_Вирм,hasArmor,17
Барлгура_Barlgura,hasImmunityToState,Отравленный
Дретч_Dretch,hasCha,3
Мимик_Mimic,type,NamedIndividual
Три-крин_Thri-kreen,hasInt,8
Рой_летучих_мышей_Swarm_of_Bats,type,NamedIndividual
Отвратительный_Йети_Abominable_Yeti,hasCha,9
Сахуагин_Sahuagin,hasSize,Средний
Пони_Pony,hasStr,15
Гигантский_гриф_Giant_Vulture,hasLocation,Полярная_тундра
Никалот_Nycaloth,type,NamedIndividual
Белый_Дракон_Вирм_White_Dragon_Wyrmling,hasWis,10
Бандит_Thug,type,Enemy
Кит-убийца_Killer_Whale,hasLocation,Тропики
Водная_аномалия_Water_Weird,hasLocation,Руины
Красный_Дракон_Вирм_Red_Dragon_Wyrmling,hasLanguage,Драконий
Молодой_Зеленый_Дракон_Young_Green_Dragon,hasCha,15
Ползущий_Падальшик_Carrion_Crawler,hasWis,12
Охряное_желе,hasStr,15
Оживший_Доспех_Animated_Armor,hasType,Конструкт
Молодой_Красный_Дракон_Тень_Young_Red_Shadow_Dragon,hasWis,11
Взрослый_Серебряный_Дракон_Adult_Silver_Dragon,hasImmunityToDamage,Холодный
Андро-сфинкс_Androsphinx,type,Enemy
Горностай_Weasel,hasArmor,13
Медуза_Горгона_Gorgon,hasLocation,Руины
17,type,NamedIndividual
Ифрит_Efreeti,hasArmor,17
Ультролот_Ultroloth,hasResistanceToDamage,Электрический
Древний_Синий_Дракон_Ancient_Blue_Dragon,hasArmor,22
Огромный,type,NamedIndividual
Три-крин_Thri-kreen,hasCha,7
Горгулья_Gargoyle,hasHp,52
Гигантская_оса_Giant_Wasp,hasInt,1
Древний_Зеленый_Дракон_Ancient_Green_Dragon,hasCha,19
Кабашни_Nalfeshnee,hasType,Исчадие
Побережье,type,NamedIndividual
Ламия_Lamia,hasWis,15
Водный_Элементаль_Water_Elemental,hasLocation,Холмы
Полтергейст_Poltergeist,hasResistanceToDamage,Колющий
Шпион_Spy,hasCha,16
Тигр-оборотен_Weretiger,type,NamedIndividual
Гигантский_орел_Giant_Eagle,hasRank,1
Пантера_Panther,hasCon,10
Багбир_Bugbear,hasCon,13
Гигантская_сова_Giant_Owl,hasHp,19
Анкег_Ankheg,hasHp,39
Они_Oni,hasRank,7
Тень_Shadow,hasResistanceToDamage,Электрический
Отидж_Otyugh,hasRank,5
Куаггот_служитель_спор_Quaggoth_Spore_Servant,hasImmunityToDamage,Ядовитый
Средний,type,Size
Гигантская_сова_Giant_Owl,hasInt,8
Рух_Roc,hasArmor,15
Бехолдер_Beholder,hasImmunityToState,Сбитый_с_ног
Барлгура_Barlgura,type,NamedIndividual
Анкег_Ankheg,hasArmor,14
Меззолот_Mezzoloth,hasResistanceToDamage,Колющий
Солар_Solar,hasResistanceToDamage,Колющий
Мозгодер_Mind_Flayer,hasCha,17
Куаггот_Тонот_Quaggoth_Thonot,hasInt,6
Мул_Mule,hasWis,10
Тиранозавр_Tyrannosaurus_Rex,hasStr,25
Серая_слизь_с_атакой_психики_Gray_Ooze_Psychic,hasType,Слизь
Кабашни_Nalfeshnee,hasRank,13
Дроу_Drow,hasType,Гуманоид
Пегас_Pegasus,type,Enemy
Кровавый_Ястреб_Blood_Hawk,hasType,Зверь
Скаковая_лошадь_Riding_Horse,hasHp,13
Молодой_Зеленый_Дракон_Young_Green_Dragon,hasCon,17
Дретч_Dretch,hasResistanceToDamage,Холодный
Горностай_Weasel,hasInt,2
Манз_Manes,hasImmunityToDamage,Ядовитый
Отвратительный_Йети_Abominable_Yeti,hasCon,22
Фейский_ДраконФиолетовый_Faerie_Dragon_Violet,hasStr,3
Призрак_Ghost,hasStr,7
Ветвистая_зараза_Twig_Blight,hasVulnerabilityToDamage,Огненный
Отидж_Otyugh,hasCon,19
Золотой_Дракон_Вирм_Gold_Dragon_Wyrmling,hasWis,11
Ястреб_Hawk,type,NamedIndividual
Гигантская_обезьяна_Giant_Ape,hasSize,Огромный
Глинянный_Голем_Clay_Golem,hasImmunityToState,Окаменевший
Глабрезу_Glabrezu,type,Enemy
hasImmunityToState,type,ObjectProperty
Взрослый_Серебряный_Дракон_Adult_Silver_Dragon,hasArmor,19
Взрослый_Синий_Драколич_Adult_Blue_Dracolich,hasCon,23
Костяной_Дьявол_Bone_Devil,hasResistanceToDamage,Колющий
Ледяной_Дьявол_Ice_Devil,hasType,Исчадие
Фейский_ДраконЖелтый_Faerie_Dragon_Yellow,hasInt,14
Гигантская_ядовитая_змея_Giant_Poisonous_Snake,hasInt,2
Красный_Дракон_Вирм_Red_Dragon_Wyrmling,hasRank,4
Хобгоблин_капитан_Hobgoblin_Captain,hasLanguage,Гоблинский
30,type,NamedIndividual
Синий_Дракон_Вирм_Blue_Dragon_Wyrmling,hasRank,3
Глубинный_гном_Свирфнеблин_Deep_Gnome_Svirfneblin,hasType,Гуманоид
Ящерочеловек_Lizardfolk,type,Enemy
Акула_охотник_Hunter_Shark,hasHp,45
Гигантский_скорпион_Giant_Scorpion,hasSize,Большой
Болтающие_рты_Gibbering_Mouther,hasStr,10
Морозный_великан_Frost_Giant,hasType,Великан
Гарпия_Harpy,hasRank,1
Слон_Elephant,hasCon,17
Ворг_Worg,hasType,Монстр
Троглодит_Troglodyte,type,NamedIndividual
Хезроу_Hezrou,hasStr,19
Красный_Дракон_Вирм_Red_Dragon_Wyrmling,hasImmunityToDamage,Огненный
Морской_конь_Sea_Horse,hasType,Зверь
Невидимый_сталкер_Invisible_Stalker,hasImmunityToState,Парализованный
Крыса-оборотень_Wererat,hasRank,2
1/2,hasRankEx,100.0
Куо-тоа_Кнут_куо-тоа_Whip,type,NamedIndividual
Циклоп_Cyclops,hasCon,20
Волк_Wolf,hasCha,6
Тень_Shadow,hasResistanceToDamage,Рубящий
Орог_Orog,hasCon,18
Гигантская_коза_Giant_Goat,hasHp,19
Слон_Elephant,hasCha,6
Гиносфинкс_Gynosphinx,hasWorldview,Законопослушный_нейтральный
Серебряный_Дракон_Вирм,type,Enemy
Юан-ти_Форма_проклятия_2_Yuan-ti_Malison_Type_2,hasArmor,12
Шакал-оборотень_Jackalwere,type,NamedIndividual
Аболет_Aboleth,hasStr,21
Ночная_ведьма_Night_Hag,hasRank,5
Хезроу_Hezrou,hasRank,8
Мимик_Mimic,hasInt,5
Демон-боец_Pit_Fiend,hasResistanceToDamage,Холодный
Спектр_Specter,hasHp,22
Гигантская_муха_Giant_Fly,hasType,Зверь
Бронзовый_Дракон_Вирм_Bronze_Dragon_Wyrmling,hasHp,32
Рух_Roc,hasLocation,Болото
Верблюд_Camel,hasCon,14
Бабуин_Baboon,hasLocation,Под_водой
Планетар_Planetar,hasWis,22
Анкег_Ankheg,hasRank,2
Пентадрон_Pentadrone,hasLocation,Болото
Арканалот_Arcanaloth,hasResistanceToDamage,Холодный
Железный_голем_Iron_Golem,hasSize,Большой
Кракен_Kraken,type,NamedIndividual
Летающий_меч_Flying_Sword,hasSize,Маленький
Камбион_Cambion,hasType,Исчадие
Орк_Orc,hasSize,Средний
Мастиф_Mastiff,type,Enemy
Хезроу_Hezrou,hasWorldview,Хаотичный_злой
Юан-ти_Форма_проклятия_2_Yuan-ti_Malison_Type_2,hasType,Монстр
Фейский_ДраконСиний_Faerie_Dragon_Indigo,hasSize,Крошечный
Ползущий_Коготь_Crawling_Claw,hasCha,4
Орк_Глаз_Груумша_Orc_Eye_of_Gruumsh,hasLanguage,Общий
Цепной_Дьявол_Chain_Devil,hasResistanceToDamage,Колющий
Куаггот_Тонот_Quaggoth_Thonot,hasCon,16
hasResistanceToDamage,type,ObjectProperty
Взрослый_Серебряный_Дракон_Adult_Silver_Dragon,hasInt,16
hasSizeCell,domain,Size
Ледяной_мефит_Ice_Mephit,hasVulnerabilityToDamage,Дробящий
Молодой_Красный_Дракон_Young_Red_Dragon,type,NamedIndividual
Бронзовый_Дракон_Вирм_Bronze_Dragon_Wyrmling,hasSize,Средний
Мумия_лорд_Mummy_Lord,hasRank,15
Тень_Shadow,hasArmor,12
Реморхаз_Remorhaz,hasImmunityToDamage,Холодный
Больная_гигантская_крыса_Giant_Rat_Diseased,hasStr,7
Обыватель_Commoner,hasStr,10
Зорн_Xorn,hasResistanceToDamage,Рубящий
Фанатик_Cult_Fanatic,hasCon,12
Врок_Vrock,hasResistanceToDamage,Огненный
Грелл_Grell,hasRank,3
Мясной_голем_Flesh_Golem,hasImmunityToDamage,Дробящий
Врок_Vrock,hasResistanceToDamage,Рубящий
Костяной_Дьявол_Копьеносец_Bone_Devil_Polearm,type,Enemy
Рой_воронов_Swarm_of_Ravens,hasImmunityToState,Схваченный
Огонек_Will-o'-Wisp,hasInt,13
Гарпия_Harpy,hasLanguage,Общий
Глабрезу_Glabrezu,hasRank,9
Гигантский_лось_Giant_Elk,hasLocation,Руины
Сахуагин_жрица_Sahuagin_Priestess,type,NamedIndividual
Дворянин_Noble,hasCon,11
Штормовой_великан_Storm_Giant,hasCha,18
Манз_Manes,hasWis,8
Взрослый_Зеленый_Дракон_Adult_Green_Dragon,hasType,Дракон
Древний_Серебряный_Дракон_Ancient_Silver_Dragon,hasWorldview,Законопослушный_добрый
Нага_страж_Guardian_Naga,hasWis,19
Тараска_Tarrasque,type,Enemy
Рой_пауков_Swarm_of_Spiders,hasImmunityToState,Испуганный
Гигантский_светлячок_Giant_Fire_Beetle,type,NamedIndividual
Морская_ведьма_Sea_Hag,hasLocation,Подземелья
Черный_Пудинг_Black_Pudding,hasImmunityToState,Ослеплённый
Балор_Balor,hasLanguage,Бездны
Фомориан_Fomorian,hasHp,149
Гнолл_хозяин_стаи_гнолл_Pack_Lord,hasCon,13
Летающий_меч_Flying_Sword,hasCha,1
Гористро_Goristro,hasCha,14
Облачный_Гигант_Cloud_Giant,hasType,Великан
Дроу_элитный_воин_Drow_Elite_Warrior,hasLocation,Тропики
Серая_слизь_Gray_Ooze,hasSize,Средний
Осьминог_Octopus,hasCon,11
Орк_Глаз_Груумша_Orc_Eye_of_Gruumsh,type,Enemy
Охряное_желе,hasWorldview,Истинно_нейтральный
Фея_Sprite,hasType,Фея
24,type,Rank
Аллозавр_Allosaurus,hasLocation,Руины
Серая_слизь_Gray_Ooze,hasWis,6
Фейский_ДраконСиний_Faerie_Dragon_Indigo,hasStr,3
Летучая_мышь_Bat,hasSize,Крошечный
Грязевой_мефит_Mud_Mephit,type,Enemy
Кровавый_Ястреб_Blood_Hawk,hasHp,7
Ифрит_Efreeti,hasCon,24
Древний_Зеленый_Дракон_Ancient_Green_Dragon,hasStr,27
Манз_Manes,hasRank,1/8
Юан-ти_Форма_проклятия_2_Yuan-ti_Malison_Type_2,hasWorldview,Нейтральный_злой
Бехолдер_Beholder,hasStr,10
Больная_гигантская_крыса_Giant_Rat_Diseased,hasWorldview,Истинно_нейтральный
Молодой_Зеленый_Дракон_Young_Green_Dragon,hasImmunityToDamage,Ядовитый
Драйдер_Drider,hasLanguage,Эльфийский
Фейский_ДраконФиолетовый_Faerie_Dragon_Violet,hasType,Дракон
Хобгоблин_капитан_Hobgoblin_Captain,hasCha,13
Ультролот_Ultroloth,hasWorldview,Нейтральный_злой
